지점,지점명,일시,강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2017.3.31,9.17,,,,,1.5
108,서울,2017.4.1,0.67,1,1534,1,1530,1
108,서울,2017.4.5,15.5,2.5,2321,8.5,2231,37.5
108,서울,2017.4.6,9.17,0.5,1,2,1,3
108,서울,2017.4.8,1.83,0.2,,0.5,2238,0.5
108,서울,2017.4.9,3.75,0.5,58,0.5,8,0.5
108,서울,2017.4.13,0.42,0,,0,,0
108,서울,2017.4.14,4.58,2,1303,5.5,1228,6
108,서울,2017.4.17,5.83,0.5,1131,2.5,1304,5.5
108,서울,2017.4.18,3.5,2.5,1217,3,1205,7.5
108,서울,2017.4.20,0.42,0.1,,0.1,,0.1
108,서울,2017.5.9,7.67,0.5,1611,1.5,1614,2.5
108,서울,2017.5.10,6,0.5,353,1,346,2.5
108,서울,2017.5.11,0.75,0,,0,,0
108,서울,2017.5.13,1.75,3.5,1445,6,1414,6
108,서울,2017.5.15,0.42,0,,0,,0
108,서울,2017.5.23,4.33,1.5,1921,4,1837,5
108,서울,2017.5.24,0.67,0.1,,0.1,,0.1
108,서울,2017.6.2,0.92,0,,0,,0
108,서울,2017.6.5,0.5,0,,0,,0
108,서울,2017.6.6,10.75,3,2030,8.5,2010,15.5
108,서울,2017.6.7,14.58,2,-2356,4,-2349,12.5
108,서울,2017.6.9,1.08,0.1,,0.1,,0.1
108,서울,2017.6.10,3.83,1.5,549,4,513,4.5
108,서울,2017.6.13,0.33,0,,0,,0
108,서울,2017.6.20,1.83,0,,0,,0
108,서울,2017.6.21,0.75,0,,0,,0
108,서울,2017.6.24,9.17,1,2321,2.5,2245,3.5
108,서울,2017.6.25,3.42,0.5,1639,0.9,1555,1.5
108,서울,2017.6.26,8.5,4.5,852,17,815,29
108,서울,2017.6.27,0.67,0,,0,,0
108,서울,2017.7.1,4.25,0.5,1949,0.5,1859,0.5
108,서울,2017.7.2,21.33,16,2331,43,2247,92
108,서울,2017.7.3,9.08,15,30,53,5,67.5
108,서울,2017.7.4,4,0.5,320,0.5,305,0.5
108,서울,2017.7.6,1.95,11,1804,25,1750,34
108,서울,2017.7.7,10.67,4.5,1950,9,1900,16.5
108,서울,2017.7.8,8.17,1.5,610,1.5,535,4.5
108,서울,2017.7.9,11.1,8,219,8,210,32.5
108,서울,2017.7.10,21.08,9,1937,32,1935,144.5
108,서울,2017.7.11,2.25,0.5,1,1,1,1
108,서울,2017.7.12,3.92,0,,0,,0
108,서울,2017.7.14,0.5,0,,0,,0
108,서울,2017.7.15,15.67,8,447,17.5,416,42.5
108,서울,2017.7.16,7.08,5,415,12.5,411,22.5
108,서울,2017.7.17,2.17,5,1337,6.5,1335,7.5
108,서울,2017.7.18,8.83,0.5,247,1,447,2.5
108,서울,2017.7.22,6.5,0.2,,0.4,541,0.5
108,서울,2017.7.23,8,11.5,945,48,1041,133.5
108,서울,2017.7.24,3.75,1,1224,2,1204,3
108,서울,2017.7.27,3.33,1.5,2321,3.5,2309,3.5
108,서울,2017.7.28,13.25,1,843,2,428,8.5
108,서울,2017.7.29,0.75,0,,0,,0
108,서울,2017.7.31,10.08,0.5,851,2,856,3.5
108,서울,2017.8.1,3.25,1,224,1.5,135,2
108,서울,2017.8.5,0.25,0,,0,,0
108,서울,2017.8.6,1.33,5,1033,5,1025,5
108,서울,2017.8.9,3.83,1,2303,2,2248,2.5
108,서울,2017.8.10,21,0.5,1,1.5,27,5.5
108,서울,2017.8.11,2,0.5,650,0.5,650,0.5
108,서울,2017.8.13,1.58,0,,0,,0
108,서울,2017.8.14,10.25,0.5,1838,1,1820,1.5
108,서울,2017.8.15,22.42,8.5,1035,35.5,1022,93.5
108,서울,2017.8.16,7.92,0.5,22,1.5,2145,2
108,서울,2017.8.17,1.58,0.5,255,0.5,,0.5
108,서울,2017.8.18,0.5,0,,0,,0
108,서울,2017.8.19,5,0,,0,,0
108,서울,2017.8.20,22.75,13,2207,32.5,2117,124.5
108,서울,2017.8.21,4.42,2,400,2.5,1350,5
108,서울,2017.8.23,9.92,6.5,853,16.5,849,31.5
108,서울,2017.8.24,11.42,3,1342,6.5,1255,14
108,서울,2017.8.27,0.75,0,,0,,0
108,서울,2017.8.28,5,2,1743,5.5,1706,9
108,서울,2017.9.5,2.42,0,,0,,0
108,서울,2017.9.6,9.67,0.5,1513,1,1423,2
108,서울,2017.9.10,4.67,0.4,2339,0.4,2249,0.5
108,서울,2017.9.11,10.33,2.5,215,9,153,24
108,서울,2017.9.19,1.5,5,2056,8,2009,8
108,서울,2017.9.23,0.33,0,,0,,0
108,서울,2017.9.24,0.75,0,,0,,0
108,서울,2017.9.26,3.58,0,,0,,0
108,서울,2017.9.27,10.25,0.5,243,0.5,153,0.5
108,서울,2017.10.1,10.83,0.5,1316,1.1,1300,4
108,서울,2017.10.2,3.5,0.5,22,1,9,1.5
108,서울,2017.10.6,3.25,0.2,,0.5,2232,0.5
108,서울,2017.10.7,1.25,0,,0,,0
108,서울,2017.10.9,0.33,0,,0,,0
108,서울,2017.10.10,3.42,0.2,,0.3,2305,0.4
108,서울,2017.10.11,10.33,2.5,111,6,38,20
108,서울,2017.10.18,7.75,0.1,,0.1,,0.1
108,서울,2017.11.2,0.92,,,,,1
108,서울,2017.11.3,2.75,,,,,1.5
108,서울,2017.11.7,0.08,,,,,0
108,서울,2017.11.8,1.33,,,,,0
108,서울,2017.11.10,4.75,,,,,7.5
108,서울,2017.11.13,3.67,,,,,4.5
108,서울,2017.11.17,3.5,,,,,0
108,서울,2017.11.20,2.75,,,,,0
108,서울,2017.11.22,1.5,,,,,0.5
108,서울,2017.11.23,3.67,,,,,1.2
108,서울,2017.11.24,2.5,,,,,0
108,서울,2017.11.25,7.92,,,,,24
108,서울,2017.11.28,1.75,,,,,0.5
108,서울,2017.11.29,0.33,,,,,0
108,서울,2017.12.1,1.08,,,,,0
108,서울,2017.12.3,5.7,,,,,4
108,서울,2017.12.4,1.83,,,,,0.1
108,서울,2017.12.5,2.17,,,,,0.1
108,서울,2017.12.6,5.25,,,,,1.2
108,서울,2017.12.10,7.5,,,,,4.1
108,서울,2017.12.15,1.25,,,,,0
108,서울,2017.12.18,12.5,,,,,3.4
108,서울,2017.12.20,4.08,,,,,0.2
108,서울,2017.12.24,11.17,,,,,20
108,서울,2017.12.28,2.25,,,,,0
108,서울,2017.12.29,0.42,,,,,0
108,서울,2017.12.30,6.83,,,,,0.7
108,서울,2017.12.31,3.33,,,,,1
108,서울,2018.1.8,4.5,,,,,0.9
108,서울,2018.1.9,5.58,,,,,0.5
108,서울,2018.1.10,2.08,,,,,0.3
108,서울,2018.1.12,2.08,,,,,0
108,서울,2018.1.13,7.83,,,,,0.4
108,서울,2018.1.15,1.25,,,,,0.2
108,서울,2018.1.16,1.25,,,,,0
108,서울,2018.1.18,0.58,,,,,0
108,서울,2018.1.22,6,,,,,3.3
108,서울,2018.1.30,8.67,,,,,2.9
108,서울,2018.1.31,0.67,,,,,0
108,서울,2018.2.3,3.83,,,,,0.5
108,서울,2018.2.11,1,,,,,0
108,서울,2018.2.12,2.17,,,,,0
108,서울,2018.2.22,0.67,,,,,0.4
108,서울,2018.2.23,2.75,,,,,3.7
108,서울,2018.2.28,11.25,,,,,25
108,서울,2018.3.1,4.25,,,,,0.5
108,서울,2018.3.3,1.17,,,,,0
108,서울,2018.3.4,13.75,,,,,11.5
108,서울,2018.3.5,9.92,,,,,3.5
108,서울,2018.3.7,3.5,,,,,0.5
108,서울,2018.3.8,10.25,,,,,4
108,서울,2018.3.15,13.5,,,,,27
108,서울,2018.3.18,7.42,,,,,0.5
108,서울,2018.3.19,13.5,,,,,1
108,서울,2018.3.21,8.33,,,,,1
108,서울,2018.4.3,2.92,0.1,,0.1,,0.1
108,서울,2018.4.4,6.5,2.5,239,8,148,18.5
108,서울,2018.4.5,19.67,1,645,3,636,10.5
108,서울,2018.4.6,5.42,0.5,19,2.5,140,6.5
108,서울,2018.4.7,2.58,0.1,,0.2,,0.2
108,서울,2018.4.8,6.5,1,1729,2.5,1711,3
108,서울,2018.4.10,2.58,2,2207,4.5,2126,5
108,서울,2018.4.14,13.33,1,637,2.5,552,9
108,서울,2018.4.22,14.5,1.5,2136,4.5,2055,15.5
108,서울,2018.4.23,23.42,2.5,535,8.5,802,59
108,서울,2018.4.24,5.75,1,226,2.9,202,3
108,서울,2018.5.1,1.42,0,,0,,0
108,서울,2018.5.2,14.83,2,1158,6.5,1126,12
108,서울,2018.5.3,3.62,0.5,1412,0.9,1322,1
108,서울,2018.5.6,13.83,1.5,1005,4,954,22
108,서울,2018.5.12,21,1.5,1002,4,912,32
108,서울,2018.5.13,8.25,0.2,,0.2,,0.5
108,서울,2018.5.15,0.75,0,,0,,0
108,서울,2018.5.16,17.07,13.5,1212,35,1154,45
108,서울,2018.5.17,19.75,10,314,19.5,248,83
108,서울,2018.5.18,13.33,1,209,2,126,6.5
108,서울,2018.5.22,9.5,1,1742,4,2249,12.5
108,서울,2018.5.23,3.5,1,3,3.5,39,6.5
108,서울,2018.5.29,3,1,1931,1,1855,1
108,서울,2018.5.30,2.25,0,,0,,0
108,서울,2018.6.9,5,0.3,1945,0.5,1919,0.5
108,서울,2018.6.10,4.67,0.5,49,0.5,-2359,0.5
108,서울,2018.6.11,5.42,1.5,2241,4.5,2220,5
108,서울,2018.6.12,1.08,0,,0,,0
108,서울,2018.6.13,0.33,0,,0,,0
108,서울,2018.6.14,7.08,6,628,19.5,628,29
108,서울,2018.6.15,4.17,4.5,320,11.5,244,16.5
108,서울,2018.6.26,20.17,7,1014,18.5,949,71.5
108,서울,2018.6.27,8.83,0.5,301,0.5,46,1
108,서울,2018.6.28,7.5,11,1745,22.5,1700,26.5
108,서울,2018.6.29,7.67,3.5,525,4.5,453,6.5
108,서울,2018.6.30,4.33,4.5,1145,9.9,1125,14.5
108,서울,2018.7.1,19.25,9.5,1050,20.5,1016,83.5
108,서울,2018.7.2,21.58,8,1901,25,1844,59.5
108,서울,2018.7.3,1.58,0.1,,0.1,,0.1
108,서울,2018.7.5,2.67,0.5,559,0.5,545,0.5
108,서울,2018.7.9,17.58,3.5,2350,9.5,2330,14
108,서울,2018.7.10,8.67,4,55,9.5,43,16.5
108,서울,2018.7.11,10.58,0.5,25,1,409,3
108,서울,2018.7.12,6.08,0.5,433,0.5,343,1
108,서울,2018.7.14,0.33,0,,0,,0
108,서울,2018.7.28,1.83,6,1401,7.5,1355,7.5
108,서울,2018.8.5,2.5,1.5,733,2,643,2
108,서울,2018.8.6,3.83,3.5,816,4.5,726,6.5
108,서울,2018.8.9,3.5,1,1620,1.5,1617,2
108,서울,2018.8.12,2,2.5,1857,5,1823,5
108,서울,2018.8.13,1.58,1,16,1,-2331,1
108,서울,2018.8.15,0.92,0.9,1804,1,1745,1
108,서울,2018.8.20,0.33,0,,0,,0
108,서울,2018.8.21,6.5,1.5,601,3,535,5
108,서울,2018.8.23,9.42,1.5,2116,1.6,2026,3
108,서울,2018.8.24,16.25,1,1335,1.5,148,7.5
108,서울,2018.8.26,4.67,1,2127,1.3,2115,2
108,서울,2018.8.27,15.17,2,431,4,234,19.5
108,서울,2018.8.28,12.92,25.5,1957,43.5,1940,96.5
108,서울,2018.8.29,10.92,6.5,1951,21.5,1903,42
108,서울,2018.8.30,6.25,5,147,7.5,137,9.5
108,서울,2018.8.31,5.08,0.1,,0.1,,0.1
108,서울,2018.9.3,10.83,5.5,1637,20,1626,34.5
108,서울,2018.9.6,0.75,1,2305,1,2305,1
108,서울,2018.9.7,1.58,0.5,105,0.5,105,0.5
108,서울,2018.9.14,1.75,0.5,2222,0.5,2150,0.5
108,서울,2018.9.15,4.75,0.1,,0.1,,0.2
108,서울,2018.9.16,14.33,0.5,1449,1,1536,2
108,서울,2018.9.17,1.83,0.1,,0.1,,0.1
108,서울,2018.9.19,6.83,0.1,,0.1,,0.2
108,서울,2018.9.20,10.92,0.5,548,2,545,5
108,서울,2018.9.21,11.83,2,652,6.5,613,18
108,서울,2018.9.22,1,4,415,6.5,355,6.5
108,서울,2018.9.23,1.5,0,,0,,0
108,서울,2018.10.1,0.58,0,,0,,0
108,서울,2018.10.5,17.17,3,1604,8,1434,36.5
108,서울,2018.10.6,12.67,2.5,456,10.5,625,55.5
108,서울,2018.10.9,0.42,0,,0,,0
108,서울,2018.10.10,2.67,1.5,155,5.5,111,7
108,서울,2018.10.23,3,1.5,1103,5,1055,5
108,서울,2018.10.26,8.58,2,1338,6,1304,11
108,서울,2018.10.28,4.67,2,812,2.5,726,5.5
108,서울,2018.10.29,0.83,0,,0,,0
108,서울,2018.10.30,1.58,,,,,0
108,서울,2018.10.31,1.58,0,,0,,0
108,서울,2018.11.7,11,,,,,2
108,서울,2018.11.8,24,,,,,64
108,서울,2018.11.9,3.5,,,,,1
108,서울,2018.11.10,1.08,,,,,0
108,서울,2018.11.11,2.33,,,,,0
108,서울,2018.11.20,0.83,,,,,0.2
108,서울,2018.11.21,3.83,,,,,1
108,서울,2018.11.24,4.33,,,,,10.9
108,서울,2018.11.29,0.67,,,,,0
108,서울,2018.12.3,13.25,,,,,9.5
108,서울,2018.12.4,6.75,,,,,5
108,서울,2018.12.6,1.25,,,,,0
108,서울,2018.12.13,9,,,,,1.3
108,서울,2018.12.16,6.25,,,,,0.3
108,서울,2018.12.17,0.67,,,,,0.3
108,서울,2019.1.15,1,,,,,0
108,서울,2019.1.16,3.75,,,,,0
108,서울,2019.1.17,2.83,,,,,0
108,서울,2019.1.21,2.75,,,,,0
108,서울,2019.1.28,1.5,,,,,0
108,서울,2019.2.1,2.25,,,,,0.3
108,서울,2019.2.2,0.42,,,,,0
108,서울,2019.2.3,19.67,,,,,16
108,서울,2019.2.7,4.17,,,,,0.5
108,서울,2019.2.12,2.25,,,,,0
108,서울,2019.2.15,14.83,,,,,2.2
108,서울,2019.2.16,3.42,,,,,0.2
108,서울,2019.2.19,11.58,,,,,4.6
108,서울,2019.2.20,2.33,,,,,0
108,서울,2019.3.11,1.5,,,,,0
108,서울,2019.3.12,0.92,,,,,0
108,서울,2019.3.13,0.58,,,,,0
108,서울,2019.3.14,0.5,,,,,0
108,서울,2019.3.15,4.58,,,,,3.5
108,서울,2019.3.20,9.92,,,,,16.5
108,서울,2019.3.21,6.5,,,,,3.3
108,서울,2019.3.23,1.75,,,,,1.7
108,서울,2019.3.30,14.67,,,,,1.8
108,서울,2019.3.31,3.67,,,,,0
108,서울,2019.4.5,2.83,0,,0,,0
108,서울,2019.4.6,4,0.5,1616,0.6,1530,0.8
108,서울,2019.4.9,8.42,0.9,1754,3.8,1735,17.4
108,서울,2019.4.10,15.5,0.6,-2357,1.9,-2331,5.6
108,서울,2019.4.14,6.25,0.4,952,1.3,945,1.7
108,서울,2019.4.18,0.92,0,,0,,0
108,서울,2019.4.20,4.25,0.2,,0.7,2243,1.2
108,서울,2019.4.21,3.33,0.2,,0.2,,0.3
108,서울,2019.4.23,0.75,0,,0,,0
108,서울,2019.4.24,7.67,0.5,246,1.9,211,4.1
108,서울,2019.4.25,12.5,1.2,1958,2.7,2045,11.3
108,서울,2019.4.26,14.17,0.6,345,1.9,310,4.9
108,서울,2019.4.28,1.75,0,,0,,0
108,서울,2019.5.6,0.17,0,,0,,0
108,서울,2019.5.13,0.17,0,,0,,0
108,서울,2019.5.18,0.25,0,,0,,0
108,서울,2019.5.19,18.08,1.3,1744,4.2,1656,22
108,서울,2019.5.20,3.67,2.2,202,6.1,140,8.7
108,서울,2019.5.27,13.83,0.7,604,1.7,751,7.1
108,서울,2019.5.30,3.33,0,,0,,0
108,서울,2019.6.6,9.58,1.3,1943,3.4,1928,7.5
108,서울,2019.6.7,12.75,3.9,252,12.1,234,35.3
108,서울,2019.6.9,3.5,0.9,2123,1.6,2055,2.5
108,서울,2019.6.10,8.92,1.1,251,3.5,106,9.5
108,서울,2019.6.15,0.58,1.9,1829,2.1,1815,2.1
108,서울,2019.6.17,0.33,0,,0,,0
108,서울,2019.6.18,11.33,4.7,637,7.8,559,13.8
108,서울,2019.6.19,2.08,0.2,,0.2,,0.2
108,서울,2019.6.21,0.92,0.2,,0.2,,0.2
108,서울,2019.6.26,1.67,0,,0,,0
108,서울,2019.6.27,3.33,0.5,46,1.3,33,1.4
108,서울,2019.6.28,2.75,0,,0,,0
108,서울,2019.6.29,8.75,0.3,418,0.5,341,1.5
108,서울,2019.6.30,0.17,0,,0,,0
108,서울,2019.7.5,0.83,0,,0,,0
108,서울,2019.7.10,10.83,0.7,2019,2.7,2019,8.5
108,서울,2019.7.11,10.92,0.5,538,1.6,534,2.9
108,서울,2019.7.13,0.33,0,,0,,0
108,서울,2019.7.15,6.83,2.5,1644,4.3,1614,7.7
108,서울,2019.7.16,2,3.9,202,4.4,130,6.3
108,서울,2019.7.17,0.42,0.6,1136,0.7,1125,0.7
108,서울,2019.7.19,0.25,0,,0,,0
108,서울,2019.7.20,7.33,0.3,812,0.8,756,1.1
108,서울,2019.7.21,12.33,0.8,1333,1.6,1310,6.2
108,서울,2019.7.22,1.25,0.1,,0.1,,0.1
108,서울,2019.7.24,11.75,0.2,,0.6,747,1
108,서울,2019.7.25,12.38,2.8,1821,5.1,1731,9.7
108,서울,2019.7.26,19,7.4,913,20.7,829,60
108,서울,2019.7.27,3.5,0.4,435,0.6,349,0.6
108,서울,2019.7.28,15.42,7.1,806,11.3,804,25.6
108,서울,2019.7.29,0.75,0.4,43,0.5,25,0.5
108,서울,2019.7.30,3.08,0.8,1624,0.8,1620,1.2
108,서울,2019.7.31,14.92,11.9,754,26.3,724,62.3
108,서울,2019.8.1,8.75,4.4,159,11.3,115,26.9
108,서울,2019.8.3,1.08,2.7,1547,3,1540,3
108,서울,2019.8.4,1.67,3.5,1710,8.3,1650,8.6
108,서울,2019.8.7,10.42,0.6,657,2.3,640,8
108,서울,2019.8.8,0.25,0,,0,,0
108,서울,2019.8.11,4.08,1.8,2356,5.7,2313,6.7
108,서울,2019.8.12,17.92,4,2131,12.3,1,56.2
108,서울,2019.8.13,0.25,6.4,2210,6.4,,6.4
108,서울,2019.8.15,9.75,2.3,1247,8.1,1237,16.2
108,서울,2019.8.16,1.5,0.1,,0.1,,0.1
108,서울,2019.8.17,0.25,0,,0,,0
108,서울,2019.8.21,4.92,0.3,2056,0.5,1750,1.3
108,서울,2019.8.27,6.17,5.8,439,16.7,416,20
108,서울,2019.8.29,3.33,7.6,1037,29.4,1027,36.9
108,서울,2019.8.30,2,0.2,,0.2,,0.2
108,서울,2019.9.3,2.33,0,,0,,0
108,서울,2019.9.4,11.58,2.3,1830,6.8,1801,22.7
